Point_Number,X_GaussKruger,Y_GaussKruger
228,4382356.99,4614687.46
229,4382356.99,4614599.49
230,4382397.39,4614599.49
231,4382437.79,4614599.49
232,4382478.19,4614599.49
233,4382518.59,4614599.49
234,4382558.99,4614511.52
235,4382558.99,4614423.55
236,4382558.99,4614335.58
237,4382558.99,4614247.61
238,4382518.59,4614159.64
239,4382478.19,4614159.64
240,4382518.59,4614071.66
241,4382558.99,4613983.69
242,4382599.39,4614071.66
243,4382639.79,4614071.66
244,4382680.19,4614071.66
245,4382720.59,4614071.66
246,4382760.99,4613983.69
247,4382801.39,4613983.69
248,4382841.79,4613983.69
249,4382882.19,4614071.66
250,4382922.59,4614071.66
251,4382922.59,4614159.64
252,4382962.99,4614247.61
253,4383003.39,4614159.64
254,4383043.79,4614071.66
255,4383084.19,4614071.66
256,4383124.59,4613983.69
257,4383164.99,4614071.66
258,4383205.39,4613983.69
259,4383245.79,4613983.69
260,4383286.19,4613895.72
261,4383326.58,4613895.72
262,4383366.98,4613895.72
263,4383407.38,4613807.75
264,4383447.78,4613895.72
265,4383488.18,4613895.72
266,4383528.58,4613807.75
267,4383568.98,4613807.75
268,4383609.38,4613895.72
269,4383649.78,4613807.75
270,4383690.18,4613895.72
271,4383730.58,4613895.72
272,4383770.98,4613895.72
273,4383811.38,4613895.72
274,4383851.78,4613895.72
275,4383892.18,4613983.69
276,4383932.58,4613895.72
277,4383972.98,4613807.75
278,4384013.38,4613719.78
279,4384053.78,4613631.81
280,4384094.18,4613631.81
281,4384134.58,4613543.84
282,4384174.98,4613631.81
283,4384215.38,4613631.81
284,4384255.78,4613719.78
285,4384296.18,4613631.81
286,4384296.18,4613543.84
287,4384336.58,4613543.84
288,4384376.97,4613455.87
289,4384417.37,4613455.87
290,4384457.77,4613455.87
291,4384498.17,4613455.87
292,4384538.57,4613455.87
293,4384578.97,4613543.84
294,4384619.37,4613543.84
295,4384659.77,4613543.84
296,4384700.17,4613543.84
297,4384740.57,4613543.84
298,4384780.97,4613455.87
299,4384821.37,4613367.89
300,4384861.77,4613279.92
301,4384902.17,4613191.95
302,4384861.77,4613103.98
303,4384821.37,4613103.98
304,4384780.97,4613191.95
305,4384740.57,4613103.98
306,4384700.17,4613191.95
307,4384659.77,4613103.98
308,4384619.37,4613016.01
309,4384619.37,4612928.04
310,4384578.97,4612840.07
311,4384619.37,4612752.09
312,4384659.77,4612752.09
313,4384700.17,4612664.12
314,4384740.57,4612752.09
315,4384780.97,4612664.12
316,4384821.37,4612752.09
317,4384861.77,4612752.09
318,4384902.17,4612664.12
319,4384942.57,4612664.12
320,4384982.97,4612664.12
321,4385023.37,4612664.12
322,4385063.77,4612576.15
323,4385104.17,4612488.18
324,4385104.17,4612400.21
325,4385104.17,4612312.24
326,4385144.57,4612224.27
327,4385144.57,4612136.29
328,4385184.97,4612048.32
329,4385184.97,4611960.35
330,4385225.37,4611872.38
331,4385265.77,4611784.41
332,4385306.17,4611696.44
333,4385265.77,4611608.47
334,4385265.77,4611520.49
335,4385225.37,4611432.52
336,4385184.97,4611344.55
337,4385144.57,4611256.58
338,4385144.57,4611168.61
339,4385104.17,4611080.64
340,4385063.77,4610992.67
341,4385063.77,4610904.7
342,4385023.37,4610816.72
343,4384982.97,4610728.75
344,4384942.57,4610640.78
345,4384902.17,4610552.81
346,4384902.17,4610464.84
347,4384902.17,4610376.87
348,4384902.17,4610288.9
349,4384861.77,4610200.92
350,4384861.77,4610112.95
351,4384861.77,4610024.98
352,4384902.17,4609937.01
353,4384902.17,4609849.04
354,4384942.57,4609761.07
355,4384982.97,4609761.07
356,4385023.37,4609761.07
357,4385063.77,4609673.1
358,4385104.17,4609585.12
359,4385104.17,4609497.15
360,4385063.77,4609409.18
361,4385023.37,4609409.18
362,4384982.97,4609321.21
363,4384942.57,4609233.24
364,4384902.17,4609321.21
365,4384861.77,4609233.24
366,4384861.77,4609145.27
367,4384861.77,4609057.3
368,4384861.77,4608969.32
369,4384821.37,4608881.35
370,4384821.37,4608793.38
371,4384821.37,4608705.41
372,4384780.97,4608617.44
373,4384740.57,4608529.47
374,4384700.17,4608441.5
375,4384659.77,4608441.5
376,4384619.37,4608441.5
377,4384578.97,4608529.47
378,4384578.97,4608617.44
379,4384578.97,4608705.41
380,4384619.37,4608793.38
381,4384659.77,4608793.38
382,4384619.37,4608881.35
383,4384659.77,4608969.32
384,4384619.37,4609057.3
385,4384659.77,4609145.27
386,4384659.77,4609233.24
387,4384659.77,4609321.21
388,4384619.37,4609409.18
389,4384659.77,4609497.15
390,4384619.37,4609585.12
391,4384619.37,4609673.1
392,4384619.37,4609761.07
393,4384619.37,4609849.04
394,4384619.37,4609937.01
395,4384659.77,4610024.98
396,4384619.37,4610112.95
397,4384578.97,4610112.95
398,4384538.57,4610200.92
399,4384538.57,4610288.9
400,4384578.97,4610376.87
401,4384538.57,4610464.84
402,4384538.57,4610552.81
403,4384578.97,4610640.78
404,4384538.57,4610728.75
405,4384538.57,4610816.72
406,4384498.17,4610904.7
407,4384457.77,4610992.67
408,4384417.37,4610992.67
409,4384376.97,4610992.67
410,4384336.58,4610992.67
411,4384296.18,4610992.67
412,4384255.78,4610992.67
413,4384215.38,4611080.64
414,4384174.98,4611080.64
415,4384134.58,4611168.61
416,4384094.18,4611168.61
417,4384053.78,4611168.61
418,4384013.38,4611256.58
419,4383972.98,4611168.61
420,4383972.98,4611080.64
421,4383972.98,4610992.67
422,4383972.98,4610904.7
423,4383972.98,4610816.72
424,4383972.98,4610728.75
425,4383972.98,4610640.78
426,4383972.98,4610552.81
427,4383972.98,4610464.84
428,4383972.98,4610376.87
429,4383932.58,4610288.9
430,4383892.18,4610200.92
431,4383932.58,4610112.95
432,4383932.58,4610024.98
433,4383892.18,4609937.01
434,4383892.18,4609849.04
435,4383851.78,4609761.07
436,4383851.78,4609673.1
437,4383851.78,4609585.12
438,4383811.38,4609497.15
439,4383811.38,4609409.18
440,4383770.98,4609321.21
441,4383730.58,4609233.24
442,4383730.58,4609145.27
443,4383690.18,4609057.3
444,4383649.78,4608969.32
445,4383609.38,4608881.35
446,4383568.98,4608793.38
447,4383528.58,4608705.41
448,4383528.58,4608617.44
449,4383488.18,4608529.47
450,4383447.78,4608441.5
451,4383407.38,4608441.5
452,4383366.98,4608353.53
453,4383326.58,4608265.55
454,4383286.19,4608265.55
455,4383245.79,4608177.58
456,4383205.39,4608089.61
457,4383164.99,4608089.61
458,4383124.59,4608001.64
459,4383084.19,4608001.64
460,4383043.79,4607913.67
461,4383003.39,4607913.67
462,4382962.99,4607825.7
463,4382922.59,4607913.67
464,4382922.59,4607825.7
465,4382882.19,4607737.73
466,4382841.79,4607737.73
467,4382801.39,4607649.75
468,4382760.99,4607649.75
469,4382720.59,4607649.75
470,4382680.19,4607649.75
471,4382639.79,4607561.78
472,4382599.39,4607561.78
473,4382558.99,4607561.78
474,4382518.59,4607561.78
475,4382478.19,4607561.78
476,4382437.79,4607473.81
477,4382397.39,4607385.84
478,4382356.99,4607385.84
479,4382316.59,4607385.84
480,4382276.19,4607385.84
481,4382235.8,4607297.87
482,4382195.4,4607297.87
483,4382155,4607297.87
484,4382114.6,4607297.87
485,4382074.2,4607297.87
486,4382033.8,4607297.87
487,4381993.4,4607209.9
488,4381953,4607297.87
489,4381953,4607209.9
490,4381912.6,4607121.93
491,4381872.2,4607209.9
492,4381872.2,4607121.93
493,4381831.8,4607033.95
494,4381791.4,4607033.95
495,4381751,4607033.95
496,4381751,4606945.98
497,4381751,4606858.01
498,4381751,4606770.04
499,4381751,4606682.07
500,4381751,4606594.1
501,4381751,4606506.13
502,4381751,4606418.15
503,4381751,4606330.18
504,4381791.4,4606242.21
505,4381831.8,4606330.18
506,4381872.2,4606330.18
507,4381912.6,4606242.21
508,4381953,4606242.21
509,4381993.4,4606242.21
510,4382033.8,4606154.24
511,4382074.2,4606154.24
512,4382114.6,4606154.24
513,4382155,4606154.24
514,4382195.4,4606154.24
515,4382235.8,4606066.27
516,4382276.19,4606066.27
517,4382316.59,4606066.27
518,4382356.99,4606066.27
519,4382397.39,4605978.3
520,4382437.79,4605978.3
521,4382478.19,4605890.33
522,4382518.59,4605890.33
523,4382558.99,4605890.33
524,4382599.39,4605890.33
525,4382639.79,4605802.36
526,4382680.19,4605802.36
527,4382720.59,4605714.38
528,4382760.99,4605714.38
529,4382801.39,4605714.38
530,4382841.79,4605626.41
531,4382882.19,4605626.41
532,4382922.59,4605538.44
533,4382962.99,4605626.41
534,4383003.39,4605626.41
535,4383043.79,4605538.44
536,4383084.19,4605450.47
537,4383124.59,4605450.47
538,4383164.99,4605450.47
539,4383205.39,4605450.47
540,4383245.79,4605362.5
541,4383286.19,4605362.5
542,4383326.58,4605362.5
543,4383366.98,4605362.5
544,4383407.38,4605274.53
545,4383447.78,4605274.53
546,4383488.18,4605186.56
547,4383528.58,4605098.58
548,4383568.98,4605010.61
549,4383609.38,4605010.61
550,4383649.78,4605010.61
551,4383690.18,4604922.64
552,4383730.58,4604922.64
553,4383770.98,4604834.67
554,4383811.38,4604746.7
555,4383851.78,4604746.7
556,4383892.18,4604658.73
557,4383932.58,4604570.76
558,4383972.98,4604570.76
559,4384013.38,4604482.78
560,4384053.78,4604394.81
561,4384053.78,4604306.84
562,4384094.18,4604218.87
563,4384134.58,4604218.87
564,4384174.98,4604130.9
565,4384215.38,4604042.93
