map_number,well_id,lat_deg,lon_deg,x_km,y_km,K_ft_per_d,K_m_per_d,log_K,K_min_ft,K_max_ft,T_m2_per_d,aquifer_thickness_m,aquifer_thickness_ft,n_tests,USGS_class,class_id,aquifer,rho,A_rating,I_rating,D_rating,R_rating,S_rating,T_rating,C_rating,V_DRASTIC,sigma2_BLUE,I_Fisher,VI,logVI
28,AR_ANRC_037N,34.6942,-91.095,674.4901,3840.7833,95,28.956,1.4617,41,243,1197.24,41.45,136,13,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,6,170,0.001275697,783.885495,133260.5341,11.80006139
29,AR_ANRC_039,34.7803,-91.55,632.6726,3849.6374,88,26.822,1.4285,62,107,1218.52,45.72,150,8,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
30,AR_ANRC_041S,34.7831,-91.4936,637.8288,3850.0239,15,4.572,0.6601,14,17,213.96,46.33,152,12,SAND_FINE,1,MRVA,0.55,7,7,7,8,4,10,2,147,0.001593113,627.7020612,92272.203,11.43249822
31,AR_ANRC_042,34.9597,-91.1336,670.406,3870.1646,155,47.244,1.6743,109,196,2047.3,43.28,142,6,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,8,176,0.001275697,783.885495,137963.8471,11.83474695
32,AR_ANRC_001,35.275,-90.3258,743.2356,3906.8197,126,38.405,1.5844,88,149,1706.54,44.5,146,16,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,6,170,0.001275697,783.885495,133260.5341,11.80006139
33,AR_ANRC_003,35.54,-90.4461,731.5313,3935.9303,82,24.994,1.3978,65,97,1238.4,49.68,163,16,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
34,AR_ANRC_007,35.2522,-90.8536,695.2751,3903.1234,111,33.833,1.5293,50,148,1731.62,50.9,167,15,GRAVEL,3,MRVA,0.22,9,8,7,8,4,10,6,170,0.001275697,783.885495,133260.5341,11.80006139
35,AR_ANRC_009,36.0753,-90.6547,711.1934,3994.8464,3,0.914,-0.0389,2,4,26.48,29.57,97,4,CLAY_SILT,0,MRVA,0.72,4,3,7,8,4,10,1,115,0.001725596,579.5100269,66643.6531,11.10711509
36,AR_ANRC_014,35.6278,-90.3006,744.4579,3946.0233,68,20.726,1.3165,34,92,1029.92,49.99,164,12,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
37,AR_ANRC_016,35.1622,-91.065,676.2342,3892.7449,20,6.096,0.785,16,22,343.65,56.39,185,16,SAND_FINE,1,MRVA,0.55,7,7,7,8,4,10,2,147,0.001593113,627.7020612,92272.203,11.43249822
38,AR_ANRC_017,35.3578,-91.3219,652.4671,3914.0152,40,12.192,1.0861,15,49,482.45,39.62,130,12,SAND_GRAVEL,2,MRVA,0.38,8,8,7,8,4,10,4,161,0.001434241,697.2327565,112254.4738,11.62852366
39,AR_USDA_1N,35.6381,-90.8536,694.3446,3945.9313,4,1.219,0.0861,4,5,58.71,44.2,145,12,CLAY_SILT,0,MRVA,0.72,4,3,7,8,4,10,1,115,0.001725596,579.5100269,66643.6531,11.10711509
40,AR_USDA_1S,35.638,-90.8536,694.3449,3945.9202,3,0.914,-0.0389,2,4,41.16,44.2,145,16,CLAY_SILT,0,MRVA,0.72,4,3,7,8,4,10,1,115,0.001725596,579.5100269,66643.6531,11.10711509
41,AR_USGS_001,35.821,-90.8568,693.6114,3966.2149,29,8.839,0.9464,22,32,323.49,36.88,121,12,SAND_FINE,1,MRVA,0.55,7,7,7,8,4,10,2,147,0.001593113,627.7020612,92272.203,11.43249822
42,AR_USGS_002,35.4572,-90.8754,692.8033,3925.8209,34,10.363,1.0155,18,45,646.88,61.87,203,13,SAND_FINE,1,MRVA,0.55,7,7,7,8,4,10,2,147,0.001593113,627.7020612,92272.203,11.43249822
43,AR_USGS_CR-03a,35.2181,-91.2427,659.9384,3898.6447,252,76.81,1.8854,155,379,4694.2,61.26,201,12,GRAVEL_COARSE,4,MRVA,0.12,9,9,7,8,4,10,8,181,0.001174289,851.5788541,154135.7726,11.94558913
44,AR_USGS_CR-03b,35.2181,-91.2427,659.9384,3898.6447,401,122.225,2.0872,227,649,7484.17,61.26,201,16,GRAVEL_COARSE,4,MRVA,0.12,9,9,7,8,4,10,10,187,0.001174289,851.5788541,159245.2457,11.97820072
